celebrity_name,season,week,weekly_judge_total,estimated_fan_vote,vote_uncertainty,is_eliminated,placement
Cody Linley,7,10,205.5,4558987.809060335,-37093350.2077862,1,4
Misty May-Treanor,7,10,42.0,6154951.906045198,-35625499.27904554,1,10
Maurice Greene,7,10,179.5,6305793.134834781,-34159847.00770001,1,5
Warren Sapp,7,10,242.5,4996098.521130949,-34543102.22969216,0,2
Jeffrey Ross,7,10,12.0,6821396.729622513,-35240131.41435893,1,13
Toni Braxton,7,10,111.5,977535.2896763235,-38955584.90306066,1,8
Lance Bass,7,10,243.5,6667644.334389865,-35648974.46617692,0,3
Kim Kardashian,7,10,35.5,5706585.745142728,-37240952.70634596,1,11
Rocco DiSpirito,7,10,71.5,3359453.399726227,-37285871.00800493,1,9
Brooke Burke,7,10,269.5,5628310.786821604,-35301191.57061555,0,1
Gilles Marini,8,11,304.5,5585224.359258428,-34833216.8562991,0,2
Denise Richards,8,11,55.0,5360702.080869839,-37101667.56446518,1,12
David Alan Grier,8,11,104.0,6412838.493558481,-35750645.244495764,1,9
Lawrence Taylor,8,11,138.0,4321954.850558758,-38457237.456536956,1,7
Ty Murray,8,11,218.0,5559430.918411225,-36798619.19407357,1,4
Shawn Johnson,8,11,291.0,3902012.806747213,-36581086.78131001,0,1
Steve Wozniak,8,11,52.0,3694213.975269869,-37333686.669098735,1,10
Belinda Carlisle,8,11,35.0,3659899.014971465,-37691430.841833636,1,13
Chuck Wicks,8,11,183.5,6213281.643694237,-34589860.90254468,1,6
Lil' Kim,8,11,230.0,4088076.711484313,-36719346.33478657,1,5
Steve-O,8,11,95.0,3870566.2386463583,-36518103.296928816,1,8
Holly Madison,8,11,69.0,6050611.321346313,-34178253.268988654,1,11
Melissa Rycroft,8,11,293.5,8018340.927149564,-36009291.33538115,0,3
Ashley Hamiliton,9,10,18.9999,7348163.510389015,-36322988.62376558,1,16
Debi Mazar,9,10,60.0,7206533.576209009,-37015175.96240426,1,12
Melissa Joan Hart,9,10,136.9999,5964317.626039669,-37351115.78551953,1,9
Mark Dacascos,9,10,169.4998,5400250.149599388,-39397758.46617398,1,6
Chuck Liddell,9,10,75.0,5268589.500541806,-36191241.8508496,1,11
Natalie Coughlin,9,10,119.99980000000001,3269492.6117421985,-36735122.59802283,1,10
Louie Vito,9,10,127.99980000000001,6179831.733899489,-36687305.0164709,1,8
Michael Irvin,9,10,135.4998,6941767.025719941,-36110490.75664157,1,7
Joanna Krupa,9,10,243.4998,9292959.63194941,-34235116.06839863,1,4
Kathy Ireland,9,10,37.9999,7691567.803677112,-35751053.22962079,1,14
Tom DeLay,9,10,52.999900000000004,6624103.713421673,-36575258.87254731,1,13
Macy Gray,9,10,18.9999,3246280.8702353984,-36894195.558332056,1,15
Aaron Carter,9,10,206.49970000000002,5137846.273936108,-37472823.17456697,1,5
Mya,9,10,284.333,2130928.875641361,-39282419.12202906,0,2
Donny Osmond,9,10,264.6662,3782271.9782765806,-37025611.30559369,0,1
Kelly Osbourne,9,10,244.72160000000002,6006064.023004428,-37183855.0789455,0,3
Aiden Turner,10,10,70.5,4201660.987641603,-38461597.74513286,1,9
Shannen Doherty,10,10,38.0,4101974.775133729,-38601315.19692134,1,11
Niecy Nash,10,10,167.9998,3483774.002846107,-35712228.09672405,1,5
Buzz Aldrin,10,10,39.0,456421.1615012437,-38437813.621003255,1,10
Chad Ochocinco,10,10,199.4999,5122184.447222963,-34685879.481114015,1,4
Evan Lysacek,10,10,262.8887,6931725.921655178,-34556506.62338154,0,2
Pamela Anderson,10,10,163.9998,5663694.4164070785,-36475881.156554654,1,6
Nicole Scherzinger,10,10,280.7776,3581635.980557993,-38398326.676777996,0,1
Erin Andrews,10,10,249.4998,7313570.144334763,-36748115.12977403,0,3
Kate Gosselin,10,10,77.0,3785420.09373568,-38066243.85541973,1,8
Jake Pavelka,10,10,127.9999,6867740.040703073,-37429401.49449025,1,7
David Hasselhoff,11,10,15.0,1385021.989082694,-40196751.48199598,1,12
Florence Henderson,11,10,95.5,7369330.169671133,-36580679.196162045,1,8
Kyle Massey,11,10,255.8331,6712050.399448365,-35016323.21604003,0,2
Jennifer Grey,11,10,279.0,4651046.725160271,-38086111.669161536,0,1
Rick Fox,11,10,175.0,8233074.499173239,-34973138.25738578,1,6
Kurt Warner,11,10,184.9999,8676427.441441,-34305198.88057287,1,5
Margaret Cho,11,10,51.0,3300892.1806424707,-37215365.14533538,1,10
Michael Bolton,11,10,28.0,7371829.819069028,-34305341.72012994,1,11
Brandy,11,10,248.4999,3191529.7249339074,-38266525.583362535,1,4
The Situation,11,10,67.0,5668513.646628171,-36014968.16397783,1,9
Audrina Patridge,11,10,145.9998,4525367.980415285,-38550055.506545566,1,7
Bristol Palin,11,10,229.1664,3561834.4316782653,-37000100.019103125,0,3
Ralph Macchio,12,10,217.0,7404952.8590029925,-34193519.9536364,1,4
Chelsea Kane,12,10,267.6666,8164655.636406288,-35044467.28676398,0,3
Kirstie Alley,12,10,246.4999,5029918.783037782,-35032479.424849115,0,2
Hines Ward,12,10,267.6666,3223553.278876707,-39042784.400131084,0,1
Sugar Ray Leonard,12,10,75.0,3217402.020500213,-35650202.12077166,1,9
Chris Jericho,12,10,134.0,7981104.931495249,-36559844.91676257,1,7
Petra Nemcova,12,10,106.0,2447144.692266479,-39350989.64565544,1,8
Mike Catherwood,12,10,30.0,5896075.138152629,-37599315.1111541,1,11
Romeo,12,10,195.0,9548982.308720335,-34126155.30917544,1,5
Wendy Williams,12,10,46.0,3498989.7811549157,-39157449.86815314,1,10
Kendra Wilkinson,12,10,155.5,3392386.3526091278,-38177713.7840509,1,6
Elisabetta Canalis,13,10,36.0,1883410.5751524717,-37601218.81489246,1,11
David Arquette,13,10,154.5,6719931.3214452565,-34507131.7057769,1,6
Ricki Lake,13,10,265.9998,5075862.470992953,-37047698.218420774,0,3
J.R. Martinez,13,10,263.1665,4080536.765173927,-38521724.27611407,0,1
Metta World Peace (Ron),13,10,14.0,7068113.959544152,-35665597.52797624,1,12
Hope Solo,13,10,207.4998,6866615.166564614,-36429867.90824665,1,4
Chynna Phillips,13,10,90.0,6208232.400657371,-35960008.36160484,1,9
Kristin Cavallari,13,10,65.0,5013551.336877167,-35231205.29194461,1,10
Carson Kressley,13,10,97.0,7035445.574466601,-34652857.40562037,1,8
Chaz Bono,13,10,113.0,4282315.526643947,-39718813.02234387,1,7
Nancy Grace,13,10,169.0,4514257.035825968,-36758665.98065685,1,5
Rob Kardashian,13,10,243.83300000000003,1479709.4885884672,-36230204.45084249,0,2
William Levy,14,10,277.6666,3893137.2466270775,-37414223.65906556,0,3
Jack Wagner,14,10,68.0,6495533.658441499,-36132554.662241265,1,11
Sherri Sheperd,14,10,91.0,7275990.88506487,-37808419.024927326,1,10
Jaleel White,14,10,181.4998,2522972.259145975,-36387511.65836637,1,7
Roshon Fegan,14,10,207.9998,3630256.2593693137,-37638905.051754646,1,6
Melissa Gilbert,14,10,186.0,5342529.965763316,-37525513.14485108,1,5
Martina Navratilova,14,10,37.0,7181308.032444328,-36900930.505725056,1,12
Donald Driver,14,10,271.16650000000004,9868776.037527293,-33642229.2203133,0,1
Gavin DeGraw,14,10,107.0,5858043.889611274,-38659944.67464296,1,9
Gladys Knight,14,10,132.0,6904676.8326661885,-35213690.77268753,1,8
Katherine Jenkins,14,10,285.4999,2193998.8844887465,-37678943.81061747,0,2
Maria Menounos,14,10,240.4999,4196083.507625505,-36436451.07708799,1,4
Gilles Marini,15,10,233.0275,5380896.387482047,-36069621.70103119,1,6
Sabrina Bryan,15,10,168.75,3920064.9935168326,-38536505.04971636,1,8
Kirstie Alley,15,10,201.2499,5853997.259285569,-38920968.83059812,1,7
Kelly Monaco,15,10,281.3052,6457242.386373609,-36501468.375954255,0,3
Apolo Anton Ohno,15,10,255.63869999999997,5181221.415923476,-35463548.83590659,1,5
Emmitt Smith,15,10,253.0553,4503385.839782491,-36095433.88518368,1,4
Shawn Johnson,15,10,293.5274,9781917.468390748,-35250623.40049258,0,2
Pamela Anderson,15,10,17.0,5592809.921651199,-38559438.35854838,1,13
Helio Castroneves,15,10,70.0,914622.5231453478,-39038148.21987453,1,10
Joey Fatone,15,10,43.0,9543373.712315127,-32611101.529969573,1,12
Drew Lachey,15,10,68.0,7856802.343206823,-35187082.7911446,1,11
Bristol Palin,15,10,92.0,8494971.184736207,-34943858.09758384,1,9
Melissa Rycroft,15,10,293.3607,6237293.957075164,-37705195.27286149,0,1
Ingo Rademacher,16,10,202.5,3333349.1932153404,-37921451.39890061,1,5
Zendaya,16,10,272.9998,6773077.472545609,-35685176.878139466,0,2
Dorothy Hamill,16,10,36.0,5487231.686490804,-38787823.37112833,1,12
Victor Ortiz,16,10,118.0,6217785.603501484,-36489292.03325472,1,8
Alexandra Raisman,16,10,264.5,5758303.895135909,-36854909.3616622,1,4
Jacoby Jones,16,10,251.9997,3670617.66217643,-37771106.20673204,0,3
D. L. Hughley,16,10,83.0,7147784.935511127,-32897793.059560448,1,9
Andy Dick,16,10,132.5,6922036.2162077725,-37524732.628857575,1,7
Wynonna Judd,16,10,51.0,8028523.843848437,-35694853.18473218,1,11
Kellie Pickler,16,10,267.5,5023224.692824274,-37644307.5556295,0,1
Lisa Vanderpump,16,10,75.0,2549677.893782422,-37368303.619981684,1,10
Sean Lowe,16,10,172.0,2696171.990852028,-37736540.57562232,1,6
Valerie Harper,17,11,74.0,6977363.740968376,-37311963.246907264,1,10
Brant Daugherty,17,11,206.5,6313342.448737353,-36259573.741343945,1,7
Elizabeth Berkley Lauren,17,11,238.9998,9482108.429012045,-36237408.91969351,1,6
Leah Remini,17,11,256.9999,1345538.4957217127,-40517143.40673088,1,5
Corbin Bleu,17,11,313.66630000000004,5541652.819647431,-38687650.42694125,0,2
Amber Riley,17,11,313.83309999999994,6531786.93913959,-36278578.41684701,0,1
Keyshawn Johnson,17,11,35.0,4555258.647325292,-35609521.99236137,1,12
Bill Engvall,17,11,257.4998,7872118.056188002,-35966603.839887105,1,4
Christina Milian,17,11,125.0,5135508.368112728,-37533407.43289393,1,9
"Nicole ""Snooki"" Polizzi",17,11,176.0,2459073.4955308735,-38149632.19081815,1,8
Jack Osbourne,17,11,295.9997,6394037.604976267,-37383908.367582165,0,3
Bill Nye,17,11,47.0,2302314.9751772285,-40672965.59360955,1,11
Billy Dee Williams,18,10,30.0,10000000.0,-35002305.77748606,1,10
Danica McKellar,18,10,265.0,5336872.925424084,-36325201.48125654,1,6
James Maslow,18,10,330.0,2888066.326670587,-39715789.098177366,1,4
Candace Cameron Bure,18,10,307.9998,4051568.1308686733,-37042066.82623689,0,3
Sean Avery,18,10,41.0,7153006.480951041,-37616111.25780247,1,11
Diana Nyad,18,10,18.0,3083736.4464434385,-38851526.58957633,1,12
Charlie White,18,10,307.5,2916883.4861765206,-35964847.7739751,1,5
Amy Purdy,18,10,339.1666,5373515.192492828,-37519258.638610244,0,2
Meryl Davis,18,10,348.0,5873571.000323251,-34264538.520529345,0,1
Drew Carey,18,10,165.0,6215291.501841232,-34252560.6295466,1,8
Cody Simpson,18,10,144.0,7288236.6718633175,-36506500.704192765,1,9
NeNe Leakes,18,10,207.0,5299616.405034438,-36914640.020428136,1,7
Antonio Sabato Jr.,19,11,199.5,5117615.528313696,-36236749.411636904,1,8
Jonathan Bennett,19,11,172.0,5333539.648407236,-38825740.66531266,1,9
Lea Thompson,19,11,305.0,2551664.226562172,-37796956.247155085,1,6
Janel Parrish,19,11,397.99980000000005,1860468.063955322,-38234903.10039449,0,3
Alfonso Ribeiro,19,11,404.0,8459038.947666913,-38692155.243150674,0,1
Lolo Jones,19,11,22.0,2739731.4332548976,-37762463.65822656,1,13
Randy Couture,19,11,85.0,8772227.262567297,-34421052.30960414,1,11
Tommy Chong,19,11,286.5,6886805.661635578,-36119736.1990069,1,5
Betsey Johnson,19,11,106.0,4320486.674314067,-34733921.93148404,1,10
Michael Waltrip,19,11,205.0,2425908.9329722226,-40755307.532314174,1,7
Tavis Smiley,19,11,57.0,5670325.550451145,-36869643.6117682,1,12
Bethany Mota,19,11,396.5,4662452.472601712,-39758534.76676778,1,4
Sadie Robertson,19,11,386.83320000000003,6979098.478876516,-34970164.81803455,0,2
Suzanne Somers,20,10,134.0,8215528.763816044,-34482278.5555051,1,9
Willow Shields,20,10,237.5,3600866.3580880016,-35519136.46282881,1,7
Riker Lynch,20,10,363.0,3473194.9530044794,-36976678.00026098,0,2
Rumer Willis,20,10,362.5,6846254.190239891,-36014137.2890302,0,1
Nastia Liukin,20,10,327.5,5537190.043102443,-37721632.34686158,1,4
Michael Sam,20,10,108.0,2893404.25584051,-36918943.35207917,1,10
Robert Herjavec,20,10,238.5,7530010.749860272,-35601531.45340416,1,6
Charlotte McKinney,20,10,70.0,4365402.447050154,-34206744.71865799,1,11
Noah Galloway,20,10,320.5,5058292.693595752,-37236907.4542435,0,3
Redfoo,20,10,53.0,3281117.927204758,-35000939.62849273,1,12
Patti LaBelle,20,10,166.0,5436463.697729439,-37338908.74525858,1,8
Chris Soules,20,10,227.0,4676252.124259919,-37271019.28717723,1,5
Gary Busey,21,11,72.5,7402891.63384372,-37595710.39926756,1,10
Alexa PenaVega,21,11,256.4998,6058057.33582969,-36390889.04682133,1,6
Carlos PenaVega,21,11,323.9998,2687532.3039905876,-41063933.51688891,1,4
Victor Espinoza,21,11,33.5,5905069.808773369,-35335810.92036915,1,12
Alek Skarlatos,21,11,293.9999,7670024.642140657,-38305109.95383496,0,3
Chaka Khan,21,11,28.0,5705411.225524381,-37965363.026698664,1,13
Andy Grammer,21,11,222.9998,6598024.9983643,-37451638.567662455,1,7
Tamar Braxton,21,11,256.0,8624150.733231306,-34725339.806633666,1,5
Nick Carter,21,11,328.0,8375008.984956339,-36318914.61704775,0,2
Hayes Grier,21,11,190.5,8366760.948815852,-36459778.47924208,1,8
Bindi Irwin,21,11,333.5,6052696.114658654,-35651240.511208795,0,1
Kim Zolciak-Biermann,21,11,30.5,3540656.814707741,-38046608.6342142,1,11
Paula Deen,21,11,121.5,8530850.04215315,-35169162.531471044,1,9
Mischa Barton,22,10,49.0,4546309.829260722,-36002205.56998162,1,11
Kim Fields,22,10,171.0,5807729.973297656,-36574567.0577026,1,8
Jodie Sweetin,22,10,206.5,4132711.062339723,-37710975.84413211,1,6
Doug Flutie,22,10,128.0,3562870.896835819,-35843345.1920535,1,9
Von Miller,22,10,172.0,4652923.245087668,-36714629.86280055,1,7
Antonio Brown,22,10,228.5,4816950.409992605,-36942352.90903702,1,5
Paige VanZant,22,10,277.6666,5020399.003559977,-35945992.02192909,0,2
Geraldo Rivera,22,10,26.0,1617370.5643435866,-36277129.43825237,1,12
Nyle DiMarco,22,10,278.4998,1054840.5230717063,-38097658.079148516,0,1
Ginger Zee,22,10,270.83320000000003,7072404.034992099,-36366787.831365764,0,3
Wanya Morris,22,10,247.5,6057460.407806471,-36501915.78953335,1,4
Marla Maples,22,10,90.0,7278919.855532378,-35942485.536385454,1,10
Jake T. Austin,23,11,46.0,3899266.500971958,-37319355.68479178,1,13
Maureen McCormick,23,11,188.0,1243358.6441664398,-39348504.07220954,1,8
Marilu Henner,23,11,255.0,7060486.915362552,-36867442.50028438,1,6
Ryan Lochte,23,11,208.0,3940083.825685069,-37812267.098379105,1,7
Calvin Johnson Jr.,23,11,340.33310000000006,7138274.868153095,-35112346.32931873,0,3
Laurie Hernandez,23,11,362.83320000000003,4616653.666573018,-38228172.58012315,0,1
Amber Rose,23,11,149.0,7375431.60847193,-35856947.932459205,1,9
Rick Perry,23,11,65.0,8698693.990993947,-36091078.56907094,1,12
James Hinchcliffe,23,11,360.49960000000004,4249308.530483991,-35543081.5397121,0,2
Babyface,23,11,99.0,2438095.6221906096,-37244405.75717291,1,11
Vanilla Ice,23,11,97.0,6673978.830811262,-37453027.6896731,1,10
Jana Kramer,23,11,340.0,6970986.207393482,-34022692.1222669,1,4
Terra Jole,23,11,294.5,7711009.344797537,-34031236.535913974,1,5
Charo,24,10,70.0,6192965.543838024,-35815462.7671454,1,11
Mr. T,24,10,94.0,6869191.323962271,-37733754.73083695,1,10
Heather Morris,24,10,197.0,6083453.632292062,-36453578.88399354,1,8
Nancy Kerrigan,24,10,227.5,6263557.454699144,-35022911.32366182,1,7
Bonner Bolton,24,10,227.5,100000.0,-39019098.481908664,1,5
Simone Biles,24,10,316.5,1143687.2389006168,-38377876.10439372,1,4
David Ross,24,10,312.8333,4513328.564446151,-34527593.96314318,0,2
Rashad Jennings,24,10,351.6666,7266499.729178503,-37463514.41220805,0,1
Chris Kattan,24,10,39.0,8350006.082113996,-36761654.32174783,1,12
Erika Jayne,24,10,140.0,4320348.53426744,-37339518.72735091,1,9
Normani,24,10,358.83320000000003,7040704.449422613,-35068835.25229241,0,3
Nick Viall,24,10,203.5,4247141.8933145255,-37807696.632369734,1,6
Sasha Pieterse,25,10,107.5,7621083.328348443,-35299677.59649807,1,10
Frankie Muniz,25,10,268.8887,7365064.9398304075,-36039879.75273256,0,3
Jordan Fisher,25,10,295.0,626880.6886565685,-38817834.21400724,0,1
Derek Fisher,25,10,81.0,7226829.168606177,-38320594.270457014,1,11
Nikki Bella,25,10,171.5,4020666.8986993134,-37129615.98171719,1,8
Terrell Owens,25,10,191.5,3590718.132971376,-38253433.56358289,1,6
Victoria Arlen,25,10,228.5,4450187.870661959,-38068340.30784848,1,5
Barbara Corcoran,25,10,31.0,6602187.540688083,-34917587.62073654,1,13
Lindsey Stirling,25,10,286.5,9406541.880179986,-34191214.46290801,0,2
Debbie Gibson,25,10,37.5,5760973.802039996,-36132934.53686702,1,12
Nick Lachey,25,10,128.0,4749978.74136962,-35275545.435902886,1,9
Drew Scott,25,10,252.0,2691358.0062948763,-38306824.78156334,1,4
Vanessa Lachey,25,10,178.5,6579520.117410898,-38878762.00503859,1,7
Jamie Anderson,26,4,19.0,6502111.600139469,-40606796.672593065,1,10
Johnny Damon,26,4,18.0,7372323.419019431,-35108920.905319884,1,9
Kareem Abdul-Jabbar,26,4,46.5,6321644.802936226,-36659510.34944487,1,8
Arike Ogunbowale,26,4,55.0,4390689.0419546515,-38712979.25305436,1,7
Jennie Finch Daigle,26,4,81.5,5040174.29577668,-35253350.181255214,1,6
Chris Mazdzer,26,4,87.0,3353022.6306366026,-37972916.108829215,1,5
Mirai Nagasu,26,4,95.0,4663639.673860222,-37168765.51075783,1,4
Tonya Harding,26,4,119.0,6081265.381767258,-35884257.68317683,0,3
Josh Norman,26,4,122.0,5328485.441213086,-37346262.83258965,0,2
Adam Rippon,26,4,131.0,7794895.177099213,-34090170.915810496,0,1
Juan Pablo Di Pace,27,9,219.0,5443784.896837011,-35865795.250086896,1,5
Evanna Lynch,27,9,234.5,7160120.413879022,-35087308.58518232,0,3
Nancy McKeon,27,9,62.0,5798951.611671373,-33721711.23816409,1,11
John Schneider,27,9,151.5,7020591.099193513,-35707634.187938586,1,8
Milo Manheim,27,9,245.5,9252266.597670704,-36354978.57648645,0,2
Danelle Umstead,27,9,36.5,5594657.945559606,-38017155.06711784,1,12
Mary Lou Retton,27,9,142.0,1841460.6280927807,-37841961.71107949,1,9
DeMarcus Ware,27,9,173.0,7163620.445900753,-37238050.568945095,1,7
Nikki Glaser,27,9,17.5,5751038.187431067,-35322909.69321745,1,13
Bobby Bones,27,9,201.5,2806871.471123442,-40396533.10237533,0,1
Tinashe,27,9,102.0,6043176.362405494,-35366685.36560215,1,10
Alexis Ren,27,9,238.5,7388278.370031789,-34779663.7305646,0,4
Joe Amabile,27,9,150.0,5957665.426266491,-36064371.84615446,1,6
Kate Flannery,28,11,186.9998,6324337.053043634,-37239922.38124984,1,7
James Van Der Beek,28,11,265.4998,726251.0081778467,-38948273.927595586,1,5
Kel Mitchell,28,11,290.4998,5593446.793388575,-35300410.408533484,0,2
Ray Lewis,28,11,30.0,2567043.228808701,-34626715.04081634,1,11
Lamar Odom,28,11,55.0,6673550.348324329,-34615515.11675791,1,10
Sailor Brinkley-Cook,28,11,141.0,4444560.995309025,-40008540.24155593,1,9
Sean Spicer,28,11,170.0,7535350.45981954,-34303724.24728256,1,6
Mary Wilson,28,11,32.0,5053853.730656683,-37130558.324435435,1,12
Lauren Alaina,28,11,280.5,6364625.45657742,-36506064.01364929,0,4
Ally Brooke,28,11,300.5,5559803.523433641,-34634227.91106623,0,3
Karamo Brown,28,11,150.5,8111198.071676493,-33893614.359319925,1,8
Hannah Brown,28,11,294.4998,9780396.156341314,-37183315.71750325,0,1
Anne Heche,29,11,72.0,5892870.280295968,-37350075.035038196,1,13
Jesse Metcalfe,29,11,98.0,5217207.728525355,-35300110.57567791,1,12
Chrishell Stause,29,11,171.0,8274175.146157205,-35259653.48179635,1,8
Skai Jackson,29,11,235.49960000000002,6220241.942966834,-36613880.146388195,1,5
Justina Machado,29,11,275.9996,4187193.556240082,-36740150.6814409,0,4
Charles Oakley,29,11,27.0,3529280.331720695,-37102902.907417156,1,15
Veron Davis,29,11,121.0,7445594.213059157,-35005147.51289608,1,11
Johnny Weir,29,11,250.5,5444183.655141488,-36006895.45410788,1,6
Nev Schulman,29,11,289.9998,6535905.04668504,-36041049.55655869,0,2
AJ McLean,29,11,210.9998,1776480.12462686,-37403578.890173785,1,7
Nelly,29,11,252.5,3872003.0902210623,-37307357.354712136,0,3
Kaitlyn Bristowe,29,11,286.0,1647544.5608253926,-36025962.65383668,0,1
Carole Baskin,29,11,39.0,5359016.626489252,-38284493.38771709,1,14
Monica Aldama,29,11,155.0,4104843.28715609,-37139556.38625187,1,10
Jeannie Mai,29,11,153.0,8264911.534111887,-34997528.06796748,1,9
Martin Kove,30,10,28.0,8475643.552283213,-36543497.51077146,1,15
Brian Austin Green,30,10,92.0,8721555.708977282,-36763747.24733195,1,13
Melora Hardin,30,10,298.5,3626554.288013518,-36860759.81143851,1,6
Matt James,30,10,94.5,7362154.912863493,-34743258.6890543,1,12
"Mike ""The Miz"" Mizanin",30,10,202.5,5450776.147258431,-34540344.39285546,1,9
Suni Lee,30,10,296.5,2221313.3026173264,-40193593.50311938,1,5
Iman Shumpert,30,10,311.0,7222827.3989961445,-34496102.3090746,0,1
Cody Rigsby,30,10,310.5,5114818.392985821,-39105337.98106232,0,3
Melanie C,30,10,148.0,6422031.006810144,-36085006.85770954,1,11
Jimmie Allen,30,10,243.5,5587600.2180900425,-37439799.48083304,1,7
Olivia Jade,30,10,261.0,6262087.933079839,-35718948.937485754,1,8
JoJo Siwa,30,10,359.0,6432037.664383888,-36860292.03529272,0,2
Christine Chiu,30,10,70.0,2868276.4211009294,-38582555.47840767,1,14
Kenya Moore,30,10,168.5,5634970.217541009,-34753101.57557221,1,10
