celebrity_name,celebrity_industry,celebrity_age_during_season,weekly_judge_total,estimated_fan_vote,judge_rank,fan_vote_rank
Warren Sapp,Athlete,35,242.5,4996098.521130949,3.0,8.0
Jeffrey Ross,Comedian,43,12.0,6821396.729622513,13.0,1.0
Toni Braxton,Singer/Rapper,40,111.5,977535.2896763236,7.0,13.0
Lance Bass,Singer/Rapper,29,243.5,6667644.334389865,2.0,2.0
Kim Kardashian,TV Personality,27,35.5,5706585.745142728,11.0,6.0
Rocco DiSpirito,TV Personality,41,71.5,3359453.399726227,9.0,12.0
Brooke Burke,TV Personality,37,269.5,5628310.786821604,1.0,7.0
Gilles Marini,Actor/Actress,33,304.5,5585224.359258428,1.0,5.0
Gilles Marini,Actor/Actress,36,304.5,5585224.359258428,1.0,5.0
Denise Richards,Actor/Actress,38,55.0,5360702.080869839,11.0,7.0
David Alan Grier,Actor/Actress,52,104.0,6412838.493558481,8.0,2.0
Lawrence Taylor,Athlete,50,138.0,4321954.850558758,7.0,8.0
Ty Murray,Athlete,39,218.0,5559430.918411225,5.0,6.0
Shawn Johnson,Athlete,17,291.0,3902012.806747213,3.0,10.0
Shawn Johnson,Athlete,20,291.0,3902012.806747213,3.0,10.0
Steve Wozniak,Entrepreneur,58,52.0,3694213.975269869,12.0,12.0
Belinda Carlisle,Singer/Rapper,50,35.0,3659899.014971465,13.0,13.0
Chuck Wicks,Singer/Rapper,29,183.5,6213281.643694237,6.0,3.0
Lil' Kim,Singer/Rapper,34,230.0,4088076.711484313,4.0,9.0
Steve-O,TV Personality,34,95.0,3870566.2386463583,9.0,11.0
Holly Madison,TV Personality,30,69.0,6050611.321346313,10.0,4.0
Melissa Rycroft,TV Personality,26,293.5,8018340.927149564,2.0,1.0
Melissa Rycroft,TV Personality,29,293.5,8018340.927149564,2.0,1.0
Ashley Hamiliton,Actor/Actress,34,18.9999,7348163.510389015,15.0,3.0
Debi Mazar,Actor/Actress,45,60.0,7206533.576209009,12.0,4.0
Melissa Joan Hart,Actor/Actress,33,136.9999,5964317.626039669,7.0,9.0
Mark Dacascos,Actor/Actress,45,169.4998,5400250.149599388,6.0,10.0
Chuck Liddell,Athlete,39,75.0,5268589.500541806,11.0,11.0
Natalie Coughlin,Athlete,27,119.9998,3269492.6117421985,10.0,14.0
Louie Vito,Athlete,21,127.9998,6179831.733899489,9.0,7.0
Michael Irvin,Athlete,43,135.4998,6941767.025719941,8.0,5.0
Joanna Krupa,Model,30,243.4998,9292959.63194941,4.0,1.0
Kathy Ireland,Model,46,37.9999,7691567.803677112,14.0,2.0
Tom DeLay,Politician,62,52.9999,6624103.713421673,13.0,6.0
Macy Gray,Singer/Rapper,42,18.9999,3246280.8702353984,15.0,15.0
Aaron Carter,Singer/Rapper,21,206.4997,5137846.273936108,5.0,12.0
Mya,Singer/Rapper,29,284.333,2130928.875641361,1.0,16.0
Donny Osmond,Singer/Rapper,51,264.6662,3782271.9782765806,2.0,13.0
Kelly Osbourne,TV Personality,24,244.7216,6006064.023004428,3.0,8.0
Aiden Turner,Actor/Actress,32,70.5,4201660.987641603,9.0,6.0
Shannen Doherty,Actor/Actress,38,38.0,4101974.775133729,11.0,7.0
Niecy Nash,Actor/Actress,40,167.9998,3483774.002846107,5.0,10.0
Buzz Aldrin,Astronaut,80,39.0,456421.1615012437,10.0,11.0
Chad Ochocinco,Athlete,32,199.4999,5122184.447222963,4.0,5.0
Evan Lysacek,Athlete,24,262.8887,6931725.921655178,2.0,2.0
Pamela Anderson,Model,42,163.9998,5663694.416407079,6.0,4.0
Pamela Anderson,Model,45,163.9998,5663694.416407079,6.0,4.0
Nicole Scherzinger,Singer/Rapper,31,280.7776,3581635.980557993,1.0,9.0
Erin Andrews,Sports Broadcaster,32,249.4998,7313570.144334763,3.0,1.0
Kate Gosselin,TV Personality,35,77.0,3785420.09373568,8.0,8.0
Jake Pavelka,TV Personality,32,127.9999,6867740.040703073,7.0,3.0
David Hasselhoff,Actor/Actress,58,15.0,1385021.989082694,12.0,12.0
Florence Henderson,Actor/Actress,76,95.5,7369330.169671133,8.0,4.0
Kyle Massey,Actor/Actress,19,255.8331,6712050.399448365,2.0,5.0
Jennifer Grey,Actor/Actress,50,279.0,4651046.725160271,1.0,7.0
Rick Fox,Athlete,41,175.0,8233074.499173239,6.0,2.0
Kurt Warner,Athlete,39,184.9999,8676427.441441,5.0,1.0
Margaret Cho,Comedian,41,51.0,3300892.1806424707,10.0,10.0
Michael Bolton,Singer/Rapper,57,28.0,7371829.819069028,11.0,3.0
Brandy,Singer/Rapper,31,248.4999,3191529.7249339074,3.0,11.0
The Situation,TV Personality,28,67.0,5668513.646628171,9.0,6.0
Audrina Patridge,TV Personality,25,145.9998,4525367.980415285,7.0,8.0
Bristol Palin,TV Personality,19,229.1664,3561834.4316782653,4.0,9.0
Bristol Palin,TV Personality,21,229.1664,3561834.4316782653,4.0,9.0
Ralph Macchio,Actor/Actress,49,217.0,7404952.859002992,4.0,4.0
Chelsea Kane,Actor/Actress,22,267.6666,8164655.636406288,1.0,2.0
Kirstie Alley,Actor/Actress,60,246.4999,5029918.783037782,3.0,6.0
Kirstie Alley,Actor/Actress,61,246.4999,5029918.783037782,3.0,6.0
Hines Ward,Athlete,35,267.6666,3223553.278876707,1.0,9.0
Sugar Ray Leonard,Athlete,54,75.0,3217402.020500213,9.0,10.0
Chris Jericho,Athlete,40,134.0,7981104.931495249,7.0,3.0
Petra Nemcova,Model,31,106.0,2447144.692266479,8.0,11.0
Mike Catherwood,Radio Personality,32,30.0,5896075.138152629,11.0,5.0
Romeo,Singer/Rapper,21,195.0,9548982.308720335,5.0,1.0
Wendy Williams,TV Personality,46,46.0,3498989.781154916,10.0,7.0
Kendra Wilkinson,TV Personality,25,155.5,3392386.352609128,6.0,8.0
Elisabetta Canalis,Actor/Actress,33,36.0,1883410.575152472,11.0,11.0
David Arquette,Actor/Actress,40,154.5,6719931.3214452565,6.0,4.0
Ricki Lake,Actor/Actress,42,265.9998,5075862.470992953,1.0,6.0
J.R. Martinez,Actor/Actress,28,263.1665,4080536.765173927,2.0,10.0
Metta World Peace (Ron),Athlete,31,14.0,7068113.959544152,12.0,1.0
Hope Solo,Athlete,30,207.4998,6866615.166564614,4.0,3.0
Chynna Phillips,Singer/Rapper,43,90.0,6208232.400657371,9.0,5.0
Kristin Cavallari,TV Personality,24,65.0,5013551.336877167,10.0,7.0
Carson Kressley,TV Personality,41,97.0,7035445.574466601,8.0,2.0
Chaz Bono,TV Personality,42,113.0,4282315.526643947,7.0,9.0
Nancy Grace,TV Personality,51,169.0,4514257.035825968,5.0,8.0
Rob Kardashian,TV Personality,24,243.83300000000003,1479709.4885884672,3.0,12.0
William Levy,Actor/Actress,31,277.6666,3893137.2466270775,2.0,9.0
Jack Wagner,Actor/Actress,52,68.0,6495533.658441499,11.0,5.0
Sherri Sheperd,Actor/Actress,44,91.0,7275990.88506487,10.0,2.0
Jaleel White,Actor/Actress,35,181.4998,2522972.259145975,7.0,11.0
Roshon Fegan,Actor/Actress,20,207.9998,3630256.2593693137,5.0,10.0
Melissa Gilbert,Actor/Actress,47,186.0,5342529.965763316,6.0,7.0
Martina Navratilova,Athlete,55,37.0,7181308.032444328,12.0,3.0
Donald Driver,Athlete,37,271.16650000000004,9868776.037527291,3.0,1.0
Gavin DeGraw,Singer/Rapper,35,107.0,5858043.889611274,9.0,6.0
Gladys Knight,Singer/Rapper,67,132.0,6904676.8326661885,8.0,4.0
Katherine Jenkins,Singer/Rapper,31,285.4999,2193998.8844887465,1.0,12.0
Maria Menounos,TV Personality,33,240.4999,4196083.507625505,4.0,8.0
Gilles Marini,Actor/Actress,33,233.0275,5380896.387482047,6.0,9.0
Gilles Marini,Actor/Actress,36,233.0275,5380896.387482047,6.0,9.0
Sabrina Bryan,Actor/Actress,23,168.75,3920064.9935168326,8.0,12.0
Sabrina Bryan,Actor/Actress,28,168.75,3920064.9935168326,8.0,12.0
Kirstie Alley,Actor/Actress,60,201.2499,5853997.259285569,7.0,7.0
Kirstie Alley,Actor/Actress,61,201.2499,5853997.259285569,7.0,7.0
Kelly Monaco,Actor/Actress,29,281.3052,6457242.386373609,3.0,5.0
Kelly Monaco,Actor/Actress,36,281.3052,6457242.386373609,3.0,5.0
Apolo Anton Ohno,Athlete,24,255.6387,5181221.415923476,4.0,10.0
Apolo Anton Ohno,Athlete,30,255.6387,5181221.415923476,4.0,10.0
Emmitt Smith,Athlete,37,253.0553,4503385.839782491,5.0,11.0
Emmitt Smith,Athlete,43,253.0553,4503385.839782491,5.0,11.0
Shawn Johnson,Athlete,17,293.5274,9781917.468390748,1.0,1.0
Shawn Johnson,Athlete,20,293.5274,9781917.468390748,1.0,1.0
Pamela Anderson,Model,42,17.0,5592809.921651199,13.0,8.0
Pamela Anderson,Model,45,17.0,5592809.921651199,13.0,8.0
Helio Castroneves,Racing Driver,32,70.0,914622.5231453478,10.0,13.0
Helio Castroneves,Racing Driver,37,70.0,914622.5231453478,10.0,13.0
Joey Fatone,Singer/Rapper,30,43.0,9543373.712315127,12.0,2.0
Joey Fatone,Singer/Rapper,35,43.0,9543373.712315127,12.0,2.0
Drew Lachey,Singer/Rapper,29,68.0,7856802.343206823,11.0,4.0
Drew Lachey,Singer/Rapper,36,68.0,7856802.343206823,11.0,4.0
Bristol Palin,TV Personality,19,92.0,8494971.184736207,9.0,3.0
Bristol Palin,TV Personality,21,92.0,8494971.184736207,9.0,3.0
Melissa Rycroft,TV Personality,26,293.3607,6237293.957075164,2.0,6.0
Melissa Rycroft,TV Personality,29,293.3607,6237293.957075164,2.0,6.0
Ingo Rademacher,Actor/Actress,41,202.5,3333349.1932153404,5.0,10.0
Zendaya,Actor/Actress,16,272.9998,6773077.472545609,1.0,4.0
Dorothy Hamill,Athlete,56,36.0,5487231.686490804,12.0,7.0
Victor Ortiz,Athlete,26,118.0,6217785.603501484,8.0,5.0
Alexandra Raisman,Athlete,18,264.5,5758303.895135909,3.0,6.0
Jacoby Jones,Athlete,28,251.9997,3670617.66217643,4.0,9.0
D. L. Hughley,Comedian,50,83.0,7147784.935511127,9.0,2.0
Andy Dick,Comedian,47,132.5,6922036.2162077725,7.0,3.0
Wynonna Judd,Singer/Rapper,48,51.0,8028523.843848437,11.0,1.0
Kellie Pickler,Singer/Rapper,26,267.5,5023224.692824274,2.0,8.0
Lisa Vanderpump,TV Personality,52,75.0,2549677.893782422,10.0,12.0
Sean Lowe,TV Personality,29,172.0,2696171.990852028,6.0,11.0
Valerie Harper,Actor/Actress,74,74.0,6977363.740968376,10.0,3.0
Brant Daugherty,Actor/Actress,28,206.5,6313342.448737353,7.0,6.0
Elizabeth Berkley Lauren,Actor/Actress,39,238.9998,9482108.429012043,6.0,1.0
Leah Remini,Actor/Actress,43,256.9999,1345538.4957217127,5.0,12.0
Corbin Bleu,Actor/Actress,24,313.66630000000004,5541652.819647431,2.0,7.0
Amber Riley,Actor/Actress,27,313.83309999999994,6531786.93913959,1.0,4.0
Keyshawn Johnson,Athlete,41,35.0,4555258.647325292,12.0,9.0
Bill Engvall,Comedian,56,257.4998,7872118.056188002,4.0,2.0
Christina Milian,Singer/Rapper,31,125.0,5135508.368112728,9.0,8.0
"Nicole ""Snooki"" Polizzi",TV Personality,25,176.0,2459073.495530873,8.0,10.0
Jack Osbourne,TV Personality,27,295.9997,6394037.604976267,3.0,5.0
Bill Nye,TV Personality,57,47.0,2302314.9751772285,11.0,11.0
Billy Dee Williams,Actor/Actress,76,30.0,10000000.0,11.0,1.0
Danica McKellar,Actor/Actress,39,265.0,5336872.925424084,6.0,7.0
James Maslow,Actor/Actress,23,330.0,2888066.326670587,3.0,12.0
Candace Cameron Bure,Actor/Actress,37,307.9998,4051568.130868673,4.0,9.0
Sean Avery,Athlete,33,41.0,7153006.480951041,10.0,3.0
Diana Nyad,Athlete,64,18.0,3083736.4464434385,12.0,10.0
Charlie White,Athlete,26,307.5,2916883.4861765206,5.0,11.0
Amy Purdy,Athlete,34,339.1666,5373515.192492828,2.0,6.0
Meryl Davis,Athlete,27,348.0,5873571.000323251,1.0,5.0
Drew Carey,Comedian,55,165.0,6215291.501841232,8.0,4.0
Cody Simpson,Singer/Rapper,17,144.0,7288236.671863317,9.0,2.0
NeNe Leakes,TV Personality,46,207.0,5299616.405034438,7.0,8.0
Antonio Sabato Jr.,Actor/Actress,42,199.5,5117615.528313696,8.0,7.0
Jonathan Bennett,Actor/Actress,33,172.0,5333539.648407236,9.0,6.0
Lea Thompson,Actor/Actress,53,305.0,2551664.226562172,5.0,11.0
Janel Parrish,Actor/Actress,25,397.9998000000001,1860468.063955322,2.0,13.0
Alfonso Ribeiro,Actor/Actress,42,404.0,8459038.947666913,1.0,2.0
Lolo Jones,Athlete,32,22.0,2739731.4332548976,13.0,10.0
Randy Couture,Athlete,51,85.0,8772227.262567297,11.0,1.0
Tommy Chong,Comedian,76,286.5,6886805.661635578,6.0,4.0
Betsey Johnson,Fashion Designer,72,106.0,4320486.674314067,10.0,9.0
Michael Waltrip,Racing Driver,51,205.0,2425908.9329722226,7.0,12.0
Tavis Smiley,Radio Personality,50,57.0,5670325.550451145,12.0,5.0
Bethany Mota,Social Media Personality,18,396.5,4662452.472601712,3.0,8.0
Sadie Robertson,TV Personality,17,386.8332,6979098.478876516,4.0,3.0
Suzanne Somers,Actor/Actress,68,134.0,8215528.763816044,9.0,1.0
Willow Shields,Actor/Actress,14,237.5,3600866.3580880016,6.0,9.0
Riker Lynch,Actor/Actress,23,363.0,3473194.9530044794,1.0,10.0
Rumer Willis,Actor/Actress,26,362.5,6846254.190239891,2.0,3.0
Nastia Liukin,Athlete,25,327.5,5537190.043102443,3.0,4.0
Michael Sam,Athlete,25,108.0,2893404.25584051,10.0,12.0
Robert Herjavec,Entrepreneur,52,238.5,7530010.749860272,5.0,2.0
Charlotte McKinney,Model,21,70.0,4365402.447050154,11.0,8.0
Noah Galloway,Motivational Speaker,33,320.5,5058292.693595752,4.0,6.0
Redfoo,Singer/Rapper,39,53.0,3281117.927204758,12.0,11.0
Patti LaBelle,Singer/Rapper,70,166.0,5436463.697729439,8.0,5.0
Chris Soules,TV Personality,33,227.0,4676252.124259919,7.0,7.0
Gary Busey,Actor/Actress,71,72.5,7402891.63384372,10.0,6.0
Alexa PenaVega,Actor/Actress,27,256.4998,6058057.33582969,5.0,8.0
Carlos PenaVega,Actor/Actress,26,323.9998,2687532.303990588,3.0,13.0
Victor Espinoza,Athlete,43,33.5,5905069.808773369,11.0,10.0
Alek Skarlatos,Military,22,293.9999,7670024.642140657,4.0,5.0
Chaka Khan,Singer/Rapper,62,28.0,5705411.225524381,13.0,11.0
Andy Grammer,Singer/Rapper,31,222.9998,6598024.9983643,7.0,7.0
Tamar Braxton,Singer/Rapper,38,256.0,8624150.733231306,6.0,1.0
Nick Carter,Singer/Rapper,35,328.0,8375008.984956339,2.0,3.0
Hayes Grier,Social Media Personality,15,190.5,8366760.948815852,8.0,4.0
Bindi Irwin,TV Personality,17,333.5,6052696.114658654,1.0,9.0
Kim Zolciak-Biermann,TV Personality,37,30.5,3540656.814707741,12.0,12.0
Paula Deen,TV Personality,68,121.5,8530850.04215315,9.0,2.0
Mischa Barton,Actor/Actress,30,49.0,4546309.829260722,11.0,8.0
Kim Fields,Actor/Actress,46,171.0,5807729.973297656,8.0,4.0
Jodie Sweetin,Actor/Actress,34,206.5,4132711.062339723,6.0,9.0
Doug Flutie,Athlete,53,128.0,3562870.896835819,9.0,10.0
Von Miller,Athlete,27,172.0,4652923.245087668,7.0,7.0
Antonio Brown,Athlete,27,228.5,4816950.409992605,5.0,6.0
Paige VanZant,Athlete,22,277.6666,5020399.003559977,2.0,5.0
Geraldo Rivera,Journalist,72,26.0,1617370.5643435866,12.0,11.0
Nyle DiMarco,Model,26,278.4998,1054840.5230717063,1.0,12.0
Ginger Zee,News Anchor,35,270.83320000000003,7072404.034992099,3.0,2.0
Wanya Morris,Singer/Rapper,42,247.5,6057460.407806471,4.0,3.0
Marla Maples,TV Personality,52,90.0,7278919.855532378,10.0,1.0
Jake T. Austin,Actor/Actress,21,46.0,3899266.500971958,13.0,11.0
Maureen McCormick,Actor/Actress,60,188.0,1243358.6441664398,8.0,13.0
Marilu Henner,Actor/Actress,64,255.0,7060486.915362552,6.0,5.0
Ryan Lochte,Athlete,32,208.0,3940083.825685069,7.0,10.0
Calvin Johnson Jr.,Athlete,30,340.33310000000006,7138274.868153095,3.0,4.0
Laurie Hernandez,Athlete,16,362.8332,4616653.666573018,1.0,8.0
Amber Rose,Model,32,149.0,7375431.60847193,9.0,3.0
Rick Perry,Politician,66,65.0,8698693.990993947,12.0,1.0
James Hinchcliffe,Racing Driver,29,360.4996,4249308.530483991,2.0,9.0
Babyface,Singer/Rapper,57,99.0,2438095.6221906096,10.0,12.0
Vanilla Ice,Singer/Rapper,48,97.0,6673978.830811262,11.0,7.0
Jana Kramer,Singer/Rapper,32,340.0,6970986.207393482,4.0,6.0
Terra Jole,TV Personality,36,294.5,7711009.344797537,5.0,2.0
Charo,Actor/Actress,66,70.0,6192965.543838024,11.0,6.0
Mr. T,Actor/Actress,64,94.0,6869191.323962271,10.0,4.0
Heather Morris,Actor/Actress,30,197.0,6083453.632292062,8.0,7.0
Nancy Kerrigan,Athlete,47,227.5,6263557.454699144,5.0,5.0
Bonner Bolton,Athlete,29,227.5,100000.0,5.0,12.0
Simone Biles,Athlete,20,316.5,1143687.2389006168,3.0,11.0
David Ross,Athlete,40,312.8333,4513328.564446151,4.0,8.0
Rashad Jennings,Athlete,32,351.6666,7266499.729178503,2.0,2.0
Chris Kattan,Comedian,46,39.0,8350006.082113996,12.0,1.0
Erika Jayne,Singer/Rapper,45,140.0,4320348.53426744,9.0,9.0
Normani,Singer/Rapper,20,358.83320000000003,7040704.449422613,1.0,3.0
Nick Viall,TV Personality,36,203.5,4247141.8933145255,7.0,10.0
Sasha Pieterse,Actor/Actress,21,107.5,7621083.328348443,10.0,2.0
Frankie Muniz,Actor/Actress,31,268.8887,7365064.939830407,3.0,3.0
Jordan Fisher,Actor/Actress,23,295.0,626880.6886565685,1.0,13.0
Derek Fisher,Athlete,43,81.0,7226829.168606177,11.0,4.0
Nikki Bella,Athlete,33,171.5,4020666.8986993134,8.0,10.0
Terrell Owens,Athlete,43,191.5,3590718.132971376,6.0,11.0
Victoria Arlen,Athlete,22,228.5,4450187.870661959,5.0,9.0
Barbara Corcoran,Entrepreneur,68,31.0,6602187.540688083,13.0,5.0
Lindsey Stirling,Musician,31,286.5,9406541.880179986,2.0,1.0
Debbie Gibson,Singer/Rapper,47,37.5,5760973.802039996,12.0,7.0
Nick Lachey,Singer/Rapper,43,128.0,4749978.74136962,9.0,8.0
Drew Scott,TV Personality,39,252.0,2691358.0062948763,4.0,12.0
Vanessa Lachey,TV Personality,36,178.5,6579520.117410898,7.0,6.0
Jamie Anderson,Athlete,27,19.0,6502111.600139469,9.0,3.0
Johnny Damon,Athlete,44,18.0,7372323.419019431,10.0,2.0
Kareem Abdul-Jabbar,Athlete,71,46.5,6321644.802936226,8.0,4.0
Arike Ogunbowale,Athlete,21,55.0,4390689.041954652,7.0,9.0
Jennie Finch Daigle,Athlete,37,81.5,5040174.29577668,6.0,7.0
Chris Mazdzer,Athlete,29,87.0,3353022.630636602,5.0,10.0
Mirai Nagasu,Athlete,25,95.0,4663639.673860222,4.0,8.0
Tonya Harding,Athlete,47,119.0,6081265.381767258,3.0,5.0
Josh Norman,Athlete,30,122.0,5328485.441213086,2.0,6.0
Adam Rippon,Athlete,28,131.0,7794895.177099213,1.0,1.0
Juan Pablo Di Pace,Actor/Actress,39,219.0,5443784.896837011,4.0,11.0
Evanna Lynch,Actor/Actress,27,234.5,7160120.413879022,3.0,4.0
Nancy McKeon,Actor/Actress,52,62.0,5798951.611671373,11.0,8.0
John Schneider,Actor/Actress,58,151.5,7020591.099193513,7.0,5.0
Milo Manheim,Actor/Actress,17,245.5,9252266.597670704,1.0,1.0
Danelle Umstead,Athlete,46,36.5,5594657.945559606,12.0,10.0
Mary Lou Retton,Athlete,50,142.0,1841460.6280927807,9.0,13.0
DeMarcus Ware,Athlete,36,173.0,7163620.445900753,6.0,3.0
Nikki Glaser,Comedian,34,17.5,5751038.187431067,13.0,9.0
Bobby Bones,Radio Personality,38,201.5,2806871.471123442,5.0,12.0
Tinashe,Singer/Rapper,25,102.0,6043176.362405494,10.0,6.0
Alexis Ren,Social Media Personality,21,238.5,7388278.370031789,2.0,2.0
Joe Amabile,TV Personality,32,150.0,5957665.426266491,8.0,7.0
Kate Flannery,Actor/Actress,55,186.9998,6324337.053043634,6.0,6.0
James Van Der Beek,Actor/Actress,42,265.4998,726251.0081778467,5.0,12.0
Kel Mitchell,Actor/Actress,41,290.4998,5593446.793388575,3.0,7.0
Ray Lewis,Athlete,44,30.0,2567043.228808701,12.0,11.0
Lamar Odom,Athlete,39,55.0,6673550.348324329,10.0,4.0
Sailor Brinkley-Cook,Model,21,141.0,4444560.995309025,9.0,10.0
Sean Spicer,Politician,48,170.0,7535350.45981954,7.0,3.0
Mary Wilson,Singer/Rapper,75,32.0,5053853.730656683,11.0,9.0
Lauren Alaina,Singer/Rapper,24,280.5,6364625.45657742,4.0,5.0
Ally Brooke,Singer/Rapper,26,300.5,5559803.523433641,1.0,8.0
Karamo Brown,TV Personality,38,150.5,8111198.071676493,8.0,2.0
Hannah Brown,TV Personality,24,294.4998,9780396.156341314,2.0,1.0
Anne Heche,Actor/Actress,51,72.0,5892870.280295968,13.0,6.0
Jesse Metcalfe,Actor/Actress,41,98.0,5217207.728525355,12.0,9.0
Chrishell Stause,Actor/Actress,39,171.0,8274175.146157205,8.0,1.0
Skai Jackson,Actor/Actress,18,235.4996,6220241.942966834,6.0,5.0
Justina Machado,Actor/Actress,48,275.9996,4187193.556240082,3.0,10.0
Charles Oakley,Athlete,56,27.0,3529280.331720695,15.0,13.0
